Country,Total Cases,New Cases,Total Deaths,New Deaths
Montenegro,"292,709",0.0,"2,828",0.0
Algeria,"271,852",0.0,"6,881",0.0
Nigeria,"266,675",0.0,"3,155",0.0
Zimbabwe,"265,742",0.0,"5,718",0.0
Uzbekistan,"253,662",0.0,"1,637",0.0
Mozambique,"233,417",0.0,"2,243",0.0
Martinique,"230,354",0.0,"1,102",0.0
Afghanistan,"225,798",37.0,"7,946",0.0
Laos,"218,855",2.0,758,0.0
Iceland,"209,191",0.0,229,0.0
Kyrgyzstan,"206,897",0.0,"2,991",0.0
Guadeloupe,"203,235",0.0,"1,021",0.0
El Salvador,"201,785",0.0,"4,230",0.0
Trinidad and Tobago,"191,496",0.0,"4,390",0.0
Maldives,"186,694",0.0,316,0.0
Namibia,"171,998",0.0,"4,098",0.0
Uganda,"171,829",0.0,"3,632",0.0
Ghana,"171,740",0.0,"1,462",0.0
Jamaica,"156,410",0.0,"3,655",0.0
Cambodia,"138,940",0.0,"3,056",0.0
Rwanda,"133,194",0.0,"1,468",0.0
Cameroon,"125,090",0.0,"1,974",0.0
Malta,"120,296",0.0,861,0.0
Barbados,"109,503",0.0,620,0.0
Angola,"105,384",0.0,"1,934",0.0
Channel Islands,"101,717",0.0,228,0.0
French Guiana,"98,041",0.0,420,0.0
DRC,"97,697",0.0,"1,468",0.0
Senegal,"89,014",0.0,"1,971",0.0
Malawi,"88,908",0.0,"2,686",0.0
Ivory Coast,"88,338",0.0,835,0.0
Suriname,"82,588",0.0,"1,408",0.0
New Caledonia,"79,922",0.0,314,0.0
French Polynesia,"78,623",0.0,649,0.0
Eswatini,"74,882",0.0,"1,427",0.0
Guyana,"73,385",0.0,"1,299",0.0
Belize,"70,782",0.0,688,0.0
Fiji,"69,117",0.0,885,0.0
Madagascar,"68,330",0.0,"1,425",0.0
Cabo Verde,"64,238",0.0,415,0.0
Sudan,"63,993",0.0,"5,046",0.0
Mauritania,"63,715",0.0,997,0.0
Bhutan,"62,697",0.0,21,0.0
Syria,"57,743",0.0,"3,165",0.0
Burundi,"54,241",0.0,38,0.0
Seychelles,"50,937",0.0,172,0.0
Gabon,"48,992",0.0,307,0.0
Andorra,"48,015",0.0,165,0.0
Papua New Guinea,"46,864",0.0,670,0.0
Curaçao,"45,986",0.0,295,0.0
Aruba,"44,224",0.0,292,0.0
Tanzania,"43,078",0.0,846,0.0
Mauritius,"42,905",0.0,"1,051",0.0
Mayotte,"42,027",0.0,188,0.0
Togo,"39,513",0.0,290,0.0
Guinea,"38,563",0.0,468,0.0
Bahamas,"38,084",0.0,844,0.0
Isle of Man,"38,008",0.0,116,0.0
Lesotho,"34,790",0.0,723,0.0
Faeroe Islands,"34,658",0.0,28,0.0
Haiti,"34,306",0.0,860,0.0
Mali,"33,152",0.0,743,0.0
Cayman Islands,"31,472",0.0,37,0.0
Saint Lucia,"30,052",0.0,409,0.0
Benin,"28,014",0.0,163,0.0
Somalia,"27,334",0.0,"1,361",0.0
Micronesia,"26,530",0.0,65,0.0
Congo,"25,375",0.0,386,0.0
Solomon Islands,"24,575",0.0,153,0.0
San Marino,"24,504",0.0,126,0.0
Timor-Leste,"23,460",0.0,138,0.0
Burkina Faso,"22,056",0.0,396,0.0
Liechtenstein,"21,479",0.0,94,0.0
Gibraltar,"20,550",0.0,113,0.0
Grenada,"19,693",0.0,238,0.0
Bermuda,"18,860",0.0,165,0.0
Nicaragua,"18,491",0.0,225,0.0
South Sudan,"18,368",0.0,138,0.0
Tajikistan,"17,786",0.0,125,0.0
Equatorial Guinea,"17,229",0.0,183,0.0
Monaco,"16,931",0.0,67,0.0
Tonga,"16,821",0.0,13,0.0
Samoa,"16,778",0.0,31,0.0
Macao,"16,716",0.0,123,0.0
Marshall Islands,"16,133",0.0,17,0.0
Dominica,"15,760",0.0,74,0.0
Djibouti,"15,690",0.0,189,0.0
CAR,"15,368",0.0,113,0.0
Gambia,"12,626",0.0,372,0.0
Saint Martin,"12,324",0.0,63,0.0
Vanuatu,"12,019",0.0,14,0.0
Greenland,"11,971",0.0,21,0.0
Yemen,"11,945",0.0,"2,159",0.0
Caribbean Netherlands,"11,682",0.0,38,0.0
Sint Maarten,"11,051",0.0,92,0.0
Eritrea,"10,189",0.0,103,0.0
Niger,"9,931",0.0,312,0.0
St. Vincent Grenadines,"9,631",0.0,124,0.0
Guinea-Bissau,"9,614",0.0,177,0.0
Comoros,"9,109",0.0,161,0.0
Antigua and Barbuda,"9,106",0.0,146,0.0
Liberia,"8,090",0.0,295,0.0
Sierra Leone,"7,762",0.0,126,0.0
Chad,"7,701",0.0,194,0.0
British Virgin Islands,"7,305",0.0,64,0.0
Cook Islands,"7,152",0.0,2,0.0
Turks and Caicos,"6,630",0.0,39,0.0
Saint Kitts and Nevis,"6,607",0.0,48,0.0
Sao Tome and Principe,"6,597",0.0,80,0.0
Palau,"6,234",0.0,9,0.0
St. Barth,"5,507",0.0,6,0.0
Nauru,"5,393",0.0,1,0.0
Kiribati,"5,085",0.0,24,0.0
Anguilla,"3,904",0.0,12,0.0
Wallis and Futuna,"3,550",0.0,8,0.0
Saint Pierre Miquelon,"3,452",0.0,2,0.0
Tuvalu,"2,943",0.0,1,0.0
Saint Helena,"2,166",0.0,0,0.0
Falkland Islands,"1,930",0.0,0,0.0
Montserrat,"1,403",0.0,8,0.0
Niue,887,0.0,0,0.0
Diamond Princess,712,0.0,13,0.0
Tokelau,80,0.0,0,0.0
Vatican City,29,0.0,0,0.0
Western Sahara,10,0.0,1,0.0
MS Zaandam,9,0.0,2,0.0
China,"503,302",0.0,"5,272",0.0
